Company,Industry,2016 Net Income,Fortune 500 Rank Company,Profit/Second,
Apple,Technology/Internet,45700000000,3,"$1,444.76",#VALUE!
JP Morgan Chase,Banking/Finance,24700000000,21,$782.14,#VALUE!
Berkshire Hathaway,Banking/Finance,24100000000,2,$761.30,#VALUE!
Wells Fargo,Banking/Finance,21900000000,25,$693.75,#VALUE!
Alphabet,Technology/Internet,19500000000,27,$615.96,#VALUE!
Bank of America,Banking/Finance,17900000000,26,$566.24,
Microsoft,Technology/Internet,16800000000,28,$531.21,
Johnson & Johnson,Medical/Pharmaceutical,16500000000,35,$523.05,
Citigroup,Banking/Finance,14900000000,30,$471.56,
Altria Group,Tobacco,14200000000,148,$450.28,
Walmart,Retail/Consumer Goods,13600000000,1,$431.43,
Gilead Sciences,Medical/Pharmaceutical,13500000000,92,$426.94,
Verizon,Telecommunications/Mass Media,13100000000,14,$415.12,
AT&T,Telecommunications/Mass Media,13000000000,9,$410.34,
Fannie Mae,Banking/Finance,12300000000,20,$389.38,
IBM,Technology/Internet,11900000000,32,$375.43,
Cisco Systems,Technology/Internet,10700000000,60,$339.60,
Procter & Gamble,Retail/Consumer Goods,10500000000,36,$332.30,
Intel,Technology/Internet,10300000000,47,$326.22,
Facebook,Technology/Internet,10200000000,98,$323.09,
General Motors,Oil/Gas/Cars,9400000000,8,$298.11,
Disney,Telecommunications/Mass Media,9400000000,52,$296.97,
Oracle,Technology/Internet,8900000000,81,$282.43,
General Electric,Technology/Internet,8800000000,13,$279.26,
Comcast,Telecommunications/Mass Media,8700000000,31,$274.96,
